ID,Name:,Hersteller:,Erzeugnis aus:,Region:,Wein:,Jahrgang:,Rebsorte:,Qualität:,Alkohol in %:,Geschmack:,Allergene:,Ausbauart:,Trinktemperatur in °C:,Trinkempfehlung:,Verschluß:,Auszeichnungen:,Paßt zu:,Lage:,Boden:,Essen:,Herstellung:,Dekantieren:,Säure g/l:,Restzucker g/l:,Produkt aus biologischem Anbau:,Biokontrollstelle:,Diverses:,Zutaten:,Verkäufer:,Verkostungsnotiz:
29,   Opus One Winery   2018 Opus One ," Opus One Winery, 7900 St. Helena Highway, Oakville, CA 94562, USA Importeur: L.D. Vins, 4 - 8 quai de Brazza, F-33100 Bordeaux ", USA , Napa Valley , Rotwein ,2018,," Premiumwein, Qualitätswein ", 14.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2024 - 2044 , Naturkork ," Antonio Galloni Vinous, Robert Parker "," Burger, Lammbraten, Rindersteaks, Spareribs ",,,,,,,,,,,,1," Lisa Perrotti-Brown, Wine Advocate, Februar 2021: „Very deep garnet-purple in color, the 2018 Opus One soars out of the glass with bright, bold boysenberries, warm cassis and ripe, juicy black plums notes, plus emerging nuances of lilacs, oolong tea, cinnamon stick, tilled soil and black truffles. Medium to full-bodied, the palate is packed with tightly wound layers of crunchy black fruits, supported by firm, grainy tannins and fantastic freshness, finishing with lifted fruitiness and on a lingering mineral note.“ Antonio Galloni, Vinous, Januar 2021: „The 2018 Opus One is incredibly elegant and polished, right out of the bottle. Silky tannins and lifted, perfumed aromatics add to an impression of finesse that distinguishes the 2018 from some of the preceding vintages in a pretty big way. It will be interesting to see if the 2018 gains body with a bit of time in bottle. It is pretty rare for Opus One to be so approachable at this stage.“"
30,   Dalla Valle Vineyards   2018 Maya ," Dalla Valle Vineyards, Dalla Valle Vineyards P.O. Box 329 Oakville, CA 94562, USA ", USA , Napa Valley , Rotwein ,2018," Cabernet Franc, Cabernet Sauvignon "," Premiumwein, Qualitätswein ", 15.5 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2024 - 2044 , Naturkork ," Antonio Galloni Vinous, Robert Parker "," Burger, Lammbraten, Rindersteaks, Spareribs ",,,,,,,,,,,,1," Lisa Perrotti-Brown, Wine Advocate, Januar 2021: „The very deep garnet-purple colored 2018 Maya is shy and restrained to begin. With swirling, it begins to reveal beguiling notes of fragrant earth, lavender, garrigue and Sichuan pepper, giving way to a core of wild blueberries, boysenberries, black raspberries and black currants plus a hint of iron ore. The palate is full-bodied, revealing itself in slow-releasing layers of black and blue fruits with exhilarating earth and mineral sparks, framed by firm, beautifully ripe tannins and bold freshness, finishing on a persistent ferrous note. As cerebral as it is downright hedonic, this Maya is simply jaw-dropping.“ Antonio Galloni, Vinous, Januar 2021: „The 2018 Maya is stratospheric. Inky, deep and wonderfully layered, Maya is off the charts. Inky red/purplish fruit, cedar, licorice, spice, tobacco and mocha are some of the many notes that grace the 2018. The wine is young, but exceptional and vivid. Maya is usually much more forbidding at this stage, this is an incredibly refined vintage. The purity and delineation of the flavors is unreal. Moreover, the 2018 is a wine of extreme pleasure.“"
31,"   Marchesi Antinori, Tenuta Tignanello   2018 Toscana IGT 'Solaia' "," Marchesi Antinori, Tenuta Tignanello, ", Italien , Toscana , Rotwein ,2018," Cabernet Franc, Cabernet Sauvignon, Sangiovese "," IGT, Premiumwein ", 15.0 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2026 - 2050 , Naturkork ," Antonio Galloni Vinous, Robert Parker ",,,,,,,,,,,,,1," Monica Larner, Wine Advocate, August 2021: „The Marchesi Antinori 2018 Solaia reveals a silky and elegant personality, and the wine steps away from some of the more robust fruit weight and dark concentration that we've seen in the past. This elegant vintage prizes fruit purity and focus with black plum, cassis, blue flower, pencil shaving and lots of sweet spice from the oak that recalls clove and toasted almond. The blend is mostly Cabernet Sauvignon with smaller parts Cabernet Franc and Sangiovese. The fruit is harvested at the Antinori family's Tenuta Tignanello at the heart of the Chianti Classico appellation. The percentage of Cabernet Franc used in the blend is the ultimate Solaia wild card. In this vintage, the Franc has been increased to 7%, and that number is expected to be even higher in 2019 as the vines get older and the fruit more complex. Production of Solaia is 65,000 bottles in this vintage. This is a beautiful wine, but if pressed I must admit a preference for the 2018 Tignanello (the other celebrated wine crafted at this property). The 2018 Solaia is delicious on all fronts as expected, but the 2018 Tignanello struck at my heart strings. Either way, these are stunning results.“ Antonio Galloni, Vinous, September 2021: „The 2018 Solaia continues to develop beautifully. Resonant and ample on the palate, with tons of vibrancy, the 2018 offers terrific vibrancy as well as character. Inky dark fruit, chocolate, blackberry jam, licorice and spice build as the Solaia gains momentum over time. The 2018 is dense and beautifully layered, yet retains the mid-weight structure of this super elegant vintage.“"
32,   Farnese Vini srl   2019 Primitivo di Manduria IL BACCA Luccarelli ," Farnese Vini srl, Farnese Vini srl, Castello Caldora, 66026 Ortona / Chieti ", Italien , Manduria , Rotwein ,2019, Primitivo , DOC , 15.5 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , 2028+ , Naturkork , Wein Direktimport ," Käse, Schafmilch, Rindersteaks, Salami, Wildgericht ",,,"Salami, Wildbraten, Steak vom Weiderind, reife Schafkäse.",12 Monate in Barriquefässern aus französischer Eiche, etwa 30 Minuten ,,,,,,,1," Der Wein hat eine intensive rubinrote Farbe mit fast schwarzem Kern. In der Nase ist er dicht und würzig mit intensiven Aromen von Pflaume, Süßkirsche, Cassis, Dörrobst, Tabak, milden Gewürzen und Schokolade.Am Gaumen ist er ebenso würzig, mit Aromen von Kaffee und Vanille, dabei ist er samtig und hat feine, reife Gerbstoffe. Es ist ein richtiger Kraftbolzen mit verführerisch fruchtigem Charme und er hat, bei aller Kraft und großer Tiefe, eine überraschende und bewundernswerte Eleganz.Zum Wein paßt feine Bitterschokolade, aber Braten vom Wild oder zu saftigen Steaks vom Weiderind."
33,   Château de Beaucastel/Familie Perrin   2019 Côtes du Rhône Rouge 'Réserve' ," Château de Beaucastel/Familie Perrin, Famille Perrin, Château de Beaucastel, Chemin de Beaucastel, 84350 Courthezon ", Frankreich ," Rhône, südlicher Bereich ", Rotwein ,2019," Grenache Noir, Mourvèdre/Monastrell, Syrah ", AOC , 14.0 , trocken , Enthält Sulfite ," großes Holzfass, Edelstahltank ", 14 - 18 , bis 2026+ , Naturkork , Wein Direktimport ," Grillfleisch, Lamm, Rind, Wildgeflügel ",,,,, etwa 30 Minuten ,,,,,,,1,
34,"   Farnese Vini srl   2020 Montepulciano d'Abruzzo DOC ""Fantini"" Magnum "," Farnese Vini srl, Farnese Vini srl, Castello Caldora, 66026 Ortona / Chieti ", Italien , Abruzzen , Rotwein ,2020, Montepulciano d'Abruzzo , DOC , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 14 - 16 , 2024+ , Kork ,," Käse, Salami, Schinken ",,,"Antipasti, Salami, pikante Vorspeisen, Fleisch und Käse",Edelstahltank,,,,,,,,1," Der rubinrote Wein duftet intensiv nach wilden Beeren und Sauerkirschen. Am Gaumen ist er körperreich, harmonisch, hat leichte, feine Gerbstoffe und einen sehr klaren Charakter."
35,"   Farnese Vini srl   2020 Sangiovese Terre di Chieti IGT ""Fantini"" Magnum "," Farnese Vini srl, Farnese Vini srl, Castello Caldora, 66026 Ortona / Chieti ", Italien , Abruzzen , Rotwein ,2020, Sangiovese , IGT , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 16 - 18 , bis 2024 , Naturkork ,," Antipasti, Fleisch, Käse, Salami ",,,"Antipasti, Salami, pikante Vorspeisen, Fleisch und Käse",Edelstahltank,,,,,,,,1," Der granatrote Wein hat eine betont fruchtige, weinige Aromatik und ein feines Holzaroma. Am Gaumen ist er mittelgewichtig, er hat feine Gerbstoffe, ist ausgewogen und bereit zum sofortigen Genuß."
36,   Giacomo Conterno   2017 Barolo DOCG Francia ," Giacomo Conterno, Giacomo Conterno, Loc. Ornati,2, 12065 Monforte d'Alba (CN), ITALIEN ", Italien , Piemont , Rotwein ,2017, Nebbiolo , DOCG , 14 , trocken , Enthält Sulfite , Holzfaß , 16 - 18 , 2027 - 2057 , Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Antonio Galloni, Vinous, Oktober 2021: „The 2017 Barolo Francia is dense, rich and explosive right out of the gate. There is virtually no feeling of tannin, as the creaminess of the fruit is so expansive. Bright red cherry fruit, blood orange, kirsch, sage and menthol gradually appear as the 2017 starts to open in the glass. In 2017, Francia is decidedly exotic, not to mention such a thrill to taste."
37,   Wein Direktimport   Paket 'Barolo N°2' ," Wein Direktimport, Potsdamer Platz 3, 59494 Soest ", Italien , Piemont , Rotwein ,,, DOCG ,, trocken , Enthält Sulfite ,, 14 - 18 ,, Naturkork ,,,,,,,,,,,,,,1,
38,   Wein Direktimport   Paket 'Barbera & Dolcetto' ," Wein Direktimport, Potsdamer Platz 3, 59494 Soest ", Italien , Piemont , Rotwein ,2020," Barbera d'Alba, Dolcetto d'Alba "," Barbera d'Alba DOC, Dolcetto d'Alba DOC  ",, trocken , Enthält Sulfite ,, 14 - 18 ,, Kork ,,,,,,, etwa 30 Minuten ,,,,,,,1,
39,   Giuseppe Rinaldi   2020 Barbera d’Alba DOC ," Giuseppe Rinaldi, Via Monforte, 2, 12060 Barolo CN, Italien ", Italien , Piemont , Rotwein ,2020, Barbera d'Alba , Barbera d'Alba DOC , 14.0 , trocken , Enthält Sulfite ,, 14 - 18 ,, Kork ,,,,,,, etwa 30 Minuten ,,,,,,,1," Klare, frische Aromen von Süß- und Sauerkirschen, milde Gewürze, Veilchen, etwas weißer Trüffel und Röstaromen, insgesamt sehr fruchtig und intensiv. Am Gaumen frisch, saftig, jugendliche frische Säure, recht reifes mittleres Tanin. Tolle Frische und großartige Länge, der Barbera d’Alba ist ein wunderbarer, klarer Wein der bestens zu feinen Wildgerichten oder Osso Buco paßt."
40,   Giuseppe Rinaldi   2020 Dolcetto d’Alba DOC ," Giuseppe Rinaldi, Via Monforte, 2, 12060 Barolo CN, Italien ", Italien , Piemont , Rotwein ,2020, Dolcetto d'Alba , Dolcetto d'Alba DOC  , 13.5 , trocken , Enthält Sulfite ,, 14 - 18 ,, Kork ,,,,,,, etwa 30 Minuten ,,,,,,,1,
41,   Giacomo Conterno   2019 Barbera d'Alba DOC 'Vigna Francia' ," Giacomo Conterno, Giacomo Conterno, Loc. Ornati,2, 12065 Monforte d'Alba (CN), ITALIEN ", Italien , Piemont , Rotwein ,2019, Barbera d'Alba , DOC , 14 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2024 - 2034 , Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Antonio Galloni, Vinous, Oktober 2021: „The 2019 Barbera d'Alba Vigna Francia marries elegance, power and energy. Inky blue/purplish fruit, menthol, licorice and sage are some of the nuances that build as this creamy, textured Barbera slowly opens in the glass. The Francia is wonderfully somber and mysterious, with striking shades of dimension that reveal themselves over time. The 2019 was just bottled, but its pedigree is evident.“"
42,   Giacomo Conterno   2019 Barbera d'Alba DOC 'Vigna Francia' Magnum ," Giacomo Conterno, Giacomo Conterno, Loc. Ornati,2, 12065 Monforte d'Alba (CN), ITALIEN ", Italien , Piemont , Rotwein ,2019, Barbera d'Alba , DOC , 14 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2024 - 2034 , Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Antonio Galloni, Vinous, Oktober 2021: „The 2019 Barbera d'Alba Vigna Francia marries elegance, power and energy. Inky blue/purplish fruit, menthol, licorice and sage are some of the nuances that build as this creamy, textured Barbera slowly opens in the glass. The Francia is wonderfully somber and mysterious, with striking shades of dimension that reveal themselves over time. The 2019 was just bottled, but its pedigree is evident.“"
43,   Giacomo Conterno   2017 Barolo Arione ," Giacomo Conterno, Giacomo Conterno, Loc. Ornati,2, 12065 Monforte d'Alba (CN), ITALIEN ", Italien , Piemont , Rotwein ,2017, Nebbiolo ," DOCG, Premiumwein ", 14 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2027 - 2057 , Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Antonio Galloni, Vinous, Oktober 2021: „The 2017 Barolo Arione is so incredibly distinctive. Heady savory, earthy, lavender and mineral accents wrap around a core of dark Nebbiolo fruit in a potent, muscular Serralunga that speaks with gravitas and authority. There is something mysterious about Arione, something that is not easily understood, but that is very much at the heart of its personality. The depth, presence and tannic clout are Serralunga at its best. I can't wait to check in on the 2017 in another few years, or decades."
44,   Giacomo Conterno   2017 Barolo Cerretta ," Giacomo Conterno, Giacomo Conterno, Loc. Ornati,2, 12065 Monforte d'Alba (CN), ITALIEN ", Italien , Piemont , Rotwein ,2017, Nebbiolo , Barolo DOCG , 14 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2027 - 2057 , Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Antonio Galloni, Vinous, Oktober 2021: „Conterno's 2017 Barolo Cerretta offers a classic expression of this Serralunga site. The tannins are just a bit nervy today, which lends a feeling of energy and brightness that is palpable. Bright floral and white pepper accents lift bright red-toned fruit in a Barolo that is wonderfully translucent and nuanced."
45,   Giacomo Conterno   2017 Barolo Cerretta Magnum ," Giacomo Conterno, Giacomo Conterno, Loc. Ornati,2, 12065 Monforte d'Alba (CN), ITALIEN ", Italien , Piemont , Rotwein ,2017, Nebbiolo , Barolo DOCG , 14 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , 2027 - 2057 , Naturkork , Antonio Galloni Vinous ,,,,,,,,,,,,,1," Antonio Galloni, Vinous, Oktober 2021: „Conterno's 2017 Barolo Cerretta offers a classic expression of this Serralunga site. The tannins are just a bit nervy today, which lends a feeling of energy and brightness that is palpable. Bright floral and white pepper accents lift bright red-toned fruit in a Barolo that is wonderfully translucent and nuanced."
46,   Markus Schneider   2020 Ursprung Rotweincuvée ," Markus Schneider, Markus Schneider GbR, Am Hohen Weg 1, 67158 Ellerstadt ", Deutschland , Pfalz , Rotwein ,2020," Cabernet Sauvignon, Merlot, Portugieser ", Qualitätswein , 13.5 , trocken , Enthält Sulfite ," Edelstahltank, Holzfaß ", 14 - 18 ,, Stelvin-Drehverschluß ,," Braten, Gans, Grilladen ",Zwischen Vorderpfälzer Ebene und Haardtrand,"Kies, Sand, Terrasssenschotter.","Solo zum Genießen, zu Grilladen, dunklen Braten, Gänsekeule",,,,,,,,,1," Der 2020 Ursprung ist wie gewohnt fruchtbetont und hat intensive Aromen von schwarzen Johannisbeeren, Brom- und Blaubeeren, Süßkirschen, Schokolade und getrockneten Kräutern. Am Gaumen ist er saftig und frisch, er hat eine feine aber sanfte Säure und sanfte Tanine. Er ist unheimlich süffig und hat eine angenehme Länge. Wenn er im Sommer oder vor dem Kamin zu warm werden sollte kann man ihn getrost ein wenig kühlen. Die Gerbstoffe bleiben sanft und die intensive Frucht kann auch gegen tiefere Temperaturen bestehen."
47,   Borgo Scopeto   2018 Borgonero Rosso Toscana ," Borgo Scopeto, 53010 Vagliagli di Castelnuovo Berardenga (Siena), Tel. +39 0577 322729, Fax +39 0577 322564, info@ borgoscopeto.com, www.borgoscopeto.com ", Italien , Toscana , Rotwein ,2018," Cabernet Sauvignon, Merlot, Sangiovese, Syrah ", Indicazione Geografica Tipica , 13.5 , trocken , Enthält Sulfite , Tonneau , 14 - 18 , bis 2026+ , Naturkork , Wein Direktimport ," Braten, Fischsuppe, Grillfleisch, Käse., Pilzgerichten, Trüffeln ","350 - 450 m, süd- bis südwestliche Exposition","Sangiovese: steiniger Ton-Lehmboden, andere Sandstein & Kalk","Braten, gegrilltes Fleisch, Trüffel, Pilze, Livorneser Fischsuppe, reifer Käse.","15 Tage Maischegärung, danach Ausbau im Tonneau",,,,,,,,1," Im Glas beeindruckt der 2018 Borgonero mit kräftigem Rubinrot. Der Wein duftet intensiv nach Kirschen, Veilchen und reifen Pflaumen, im Hintergrund Vanille, Tabak, Schokolade und etwas Leder.Am Gaumen ist er würzig und intensiv, trotz präsenter Tanine ist er harmonisch und überraschend sanft. Ein wunderbarer Rotwein (fast) für jeden Tag."
48,"   Farnese Vini srl   2021 Novello ""Fantini"" "," Farnese Vini srl, Farnese Vini srl, Castello Caldora, 66026 Ortona / Chieti ", Italien , Abruzzen , Rotwein ,2021," Montepulciano, Sangiovese ", IGT , 13.0 , trocken , Enthält Sulfite , Edelstahltank , 12 - 16 , 2022+ , Naturkork ,," Antipasti, Fleisch, Käse, Salami ",,,"Antipasti, Salami, pikante Vorspeisen, Fleisch und Käse",Edelstahltank,,,,,,,,1," Der Wein hat ein leuchtendes Rot mit violetten Reflexen. Die betont fruchtige, weinige Nase mit Aromen von Kirschen, Waldbeeren, insbesondere Himbeeren und einem feinen Rosenduft ist sehr verführerisch.Am Gaumen ist der Novello mittelgewichtig, sehr saftig-weich, er hat feine Gerbstoffe und ein feines Holzaroma. Er ist sehr harmonisch und bereit zum sofortigen Genuß. Bitte leicht kühl servieren."
49,   Farnese Vini srl   2020 Primitivo di Manduria 'Zolla' ," Farnese Vini srl, Farnese Vini srl, Castello Caldora, 66026 Ortona / Chieti ", Italien , Abruzzen , Rotwein ,2020, Primitivo , Primitivo di Manduria , 14.5 , trocken , Enthält Sulfite , Barriquefaß , 14 - 18 , bis 2024 , Kork ,," Käse, reif, Lamm, Pasta, Wild ",,,"Kräftige Pasta, Lamm, Wild, reife Käse",6-8 Monate Reifezeit in Barrique aus amerikanischer und französischer Eiche, etwa 30 Minuten ,,,,,,,1," Tiefdunkle rubinrote Farbe mit violetten Reflexen. In der Nase zündet ein Feuerwerk an Aromen, dunkle Früchte wie Süßkirsche, Brombeere, Schokolade und Heidelbeere. Toller, sanfter Fruchtansatz im Mund mit warmen, mollig-seidigen Tanninen, sanfter Säure, Schokoladen- und Kaffeearomen und süßem Kern. Auch nach dem Herunterschlucken bleibt die Frucht und Würze des Weines lange erhalten."
50,   Azienda Agricola Petra   2019 Toscana Rosso 'HEBO' ," Azienda Agricola Petra, Località San Lorenzo Alto 131, I-57028 Suvereto (LI) ", Italien , Maremma , Rotwein ,2019," Cabernet Sauvignon, Merlot, Sangiovese ", Toscana Rosso IGT , 14.0 , trocken , Enthält Sulfite , großes Holzfaß , 14 - 18 , bis 2026 , Naturkork , Wein Direktimport ," Grillfleisch, kräftigen Vorspeisen, Käse, mittelreif, Pasta mit Ragout und Pilzen ",Diverse Lagen,,"Gut gewürzte Pasta mit vollreifen Tomaten, Rind und Lamm vom Grill, Wildschweinkeule, reifere Hartkäse, z. B. Pecorino, Gruyère, Parmesan","Ausbau im großen Holzfaß und Barrique, 2. und 3. Belegung", etwa 30 Minuten ,,,,,,,1," Auch beim 2019 HEBO ist der erste Eindruck: Trés Bordeaux! Wie in den Vorjahren ist der HEBO frisch, würzig und intensiv, er hat deutliche Aromen unter anderem von Schwarzkirsche, Trockenobst, Veilchen, reifen Brombeeren, Kräuterwürze, dazu kommt eine dezente balsamische Würze.Am Gaumen setzt sich die italienische Komponente durch, die Sangiovese sorgt für die feine Säure und verstärkt die reife Kirscharomatik. Der HEBO ist noch eine Spur kraftvoller und fülliger als in 2018. Die reifen Gerbstoffe sind präsent und perfekt in die ebenfalls reife, saftige Frucht eingebettet. Er entwickelt einen wunderbaren Trinkfluß. Die Struktur bleibt perfekt von Anfang bis zum Ende. Der trinkreife 2019 HEBO ist der perfekte Wein für Freunde nicht zu schwerer Rotweine. Er hat ein Lagerpotential bis 2028+"
